customer,0.8190000000000026
item,-1
promotion,-1
store,0.017999999999999995
store_sales,2335.928
customer,6.372999999999999
item,-1
promotion,-1
store,0.004
store_sales,-1
customer,-1
item,-1
promotion,-1
store,0.012
store_sales,-1
customer,-1
item,-1
promotion,-1
store,-1
store_sales,-1
customer,-1
item,-1
promotion,-1
store,0.017
store_sales,-1
customer,3.0470000000000006
item,-1
promotion,-1
store,0.009000000000000001
store_sales,-1
customer,-1
item,-1
promotion,-1
store,-1
store_sales,-1
customer,-1
item,-1
promotion,-1
store,-1
store_sales,-1
customer,-1
item,-1
promotion,-1
store,-1
store_sales,-1
customer,37.05
item,-1
promotion,-1
store,0.016
store_sales,1721.633
customer,8.040999999999999
item,-1
promotion,0.092
store,0.010000000000000002
store_sales,268.77299999999997
customer,5.723000000000001
item,-1
promotion,-1
store,0.009000000000000001
store_sales,-1
customer,-1
item,-1
promotion,-1
store,0.019
store_sales,-1
customer,5.125000000000002
item,-1
promotion,-1
store,0.014000000000000002
store_sales,1806.083
customer,-1
item,-1
promotion,-1
store,0.009000000000000001
store_sales,-1
customer,3.2249999999999996
item,-1
promotion,-1
store,0.006000000000000002
store_sales,-1
customer,20.92
item,-1
promotion,-1
store,0.008
store_sales,-1
customer,28.913999999999994
item,-1
promotion,0.061
store,0.006000000000000002
store_sales,19.007999999999925
customer,-1
item,-1
promotion,-1
store,-1
store_sales,-1
customer,-1
item,-1
promotion,0.065
store,0.002999999999999999
store_sales,-1
customer,-1
item,-1
promotion,-1
store,-1
store_sales,-1
customer,-1
item,-1
promotion,0.018000000000000002
store,0.007999999999999998
store_sales,-1
customer,20.952999999999996
item,-1
promotion,0.09200000000000001
store,0.013000000000000001
store_sales,-1
customer,-1
item,-1
promotion,-1
store,-1
store_sales,-1
customer,-1
item,-1
promotion,-1
store,0.009000000000000001
store_sales,-1
customer,7.597999999999999
item,-1
promotion,0.008999999999999994
store,0.009999999999999998
store_sales,2075.8190000000004
customer,-1
item,-1
promotion,-1
store,-1
store_sales,-1
customer,4.231
item,-1
promotion,0.069
store,0.009999999999999998
store_sales,320.198
customer,-1
item,-1
promotion,-1
store,-1
store_sales,-1
customer,-1
item,-1
promotion,-1
store,-1
store_sales,-1
